DAFS,Hour,Hydro,cas.count,minutes.observed,fish.prox,hydro.type,hour.of.period
0,5,H6,40,60,0,ST,92
0,6,H6,79,60,0,ST,93
0,7,H6,91,60,0,ST,94
0,8,H6,104,60,0,ST,95
0,9,H6,94,60,0,ST,96
0,10,H6,109,60,0,ST,97
0,11,H6,93,60,0,ST,98
0,12,H6,54,60,0,ST,99
0,13,H6,74,60,0,ST,100
0,14,H6,96,43,1,ST,101
0,15,H6,152,42,1,ST,102
0,16,H6,167,60,2,ST,103
0,17,H6,117,50,2,ST,104
0,18,H6,83,35,2,ST,105
0,19,H6,292,60,2,ST,106
0,20,H6,238,60,2,ST,107
0,21,H6,152,60,2,ST,108
0,22,H6,90,60,2,ST,109
0,23,H6,85,60,2,ST,110
1,0,H6,72,60,2,ST,111
1,1,H6,38,60,2,ST,112
1,2,H6,46,60,2,ST,113
1,3,H6,60,60,2,ST,114
1,4,H6,43,60,2,ST,115
1,5,H6,50,60,2,ST,116
1,6,H6,153,60,2,ST,117
1,7,H6,111,60,2,ST,118
1,8,H6,148,60,2,ST,119
1,9,H6,100,45,2,ST,120
1,10,H6,94,60,2,ST,121
1,11,H6,84,60,2,ST,122
1,12,H6,51,60,2,ST,123
1,13,H6,159,55,2,ST,124
1,14,H6,260,60,2,ST,125
1,15,H6,258,60,2,ST,126
1,16,H6,152,60,2,ST,127
1,17,H6,62,40,2,ST,128
1,18,H6,140,55,2,ST,129
1,19,H6,315,60,2,ST,130
1,20,H6,212,60,2,ST,131
1,21,H6,117,60,2,ST,132
1,22,H6,89,60,2,ST,133
1,23,H6,53,60,2,ST,134
2,0,H6,52,60,2,ST,135
2,1,H6,48,60,2,ST,136
2,2,H6,35,60,2,ST,137
2,3,H6,36,60,2,ST,138
2,4,H6,35,60,2,ST,139
2,5,H6,80,60,2,ST,140
2,6,H6,172,60,2,ST,141
2,7,H6,97,55,2,ST,142
2,8,H6,29,30,2,ST,143
2,9,H6,9,18,2,ST,144
2,10,H6,82,32,2,ST,145
2,11,H6,47,60,2,ST,146
2,12,H6,86,60,2,ST,147
2,13,H6,52,60,2,ST,148
2,14,H6,92,45,2,ST,149
2,15,H6,161,60,2,ST,150
2,16,H6,127,55,2,ST,151
2,17,H6,91,60,1,ST,152
2,18,H6,76,35,1,ST,153
2,19,H6,334,60,1,ST,154
2,20,H6,186,60,1,ST,155
2,21,H6,64,60,1,ST,156
2,22,H6,47,60,1,ST,157
2,23,H6,19,60,1,ST,158
