DAFS,Hour,Hydro,cas.count,minutes.observed,fish.prox,hydro.type,hour.of.period
2,6,H1,12,58,0,LARS,141
2,7,H1,20,56,0,LARS,142
2,8,H1,10,57,0,LARS,143
2,9,H1,8,58,0,LARS,144
2,10,H1,6,57,0,LARS,145
2,11,H1,5,58,0,LARS,146
2,12,H1,2,58,0,LARS,147
2,13,H1,6,58,0,LARS,148
2,14,H1,4,58,0,LARS,149
2,15,H1,5,57,0,LARS,150
2,16,H1,8,56,0,LARS,151
2,17,H1,9,52,0,LARS,152
2,18,H1,6,52,0,LARS,153
2,19,H1,16,50,0,LARS,154
2,20,H1,10,54,0,LARS,155
2,21,H1,13,54,0,LARS,156
2,22,H1,6,57,0,LARS,157
2,23,H1,3,53,0,LARS,158
-4,10,H2,4,11,2,ST,1
-4,11,H2,0,4,2,ST,2
-4,12,H2,7,10,2,ST,3
-4,13,H2,2,12,2,ST,4
-4,14,H2,0,6,2,ST,5
-4,15,H2,4,11,2,ST,6
-4,16,H2,2,12,2,ST,7
-4,17,H2,12,12,2,ST,8
-4,18,H2,27,12,2,ST,9
-4,19,H2,9,12,2,ST,10
-4,20,H2,11,12,2,ST,11
-4,21,H2,4,12,2,ST,12
-4,22,H2,7,12,2,ST,13
-4,23,H2,4,12,2,ST,14
-3,0,H2,4,12,2,ST,15
-3,1,H2,1,12,2,ST,16
-3,2,H2,2,12,2,ST,17
-3,3,H2,2,12,2,ST,18
-3,4,H2,6,12,2,ST,19
-3,5,H2,7,12,2,ST,20
-3,6,H2,12,12,2,ST,21
-3,7,H2,16,12,2,ST,22
-3,8,H2,2,11,2,ST,23
-3,9,H2,8,11,2,ST,24
-3,10,H2,3,7,2,ST,25
-3,11,H2,8,11,2,ST,26
-3,12,H2,2,12,2,ST,27
-3,13,H2,1,12,2,ST,28
-3,14,H2,2,12,2,ST,29
-3,15,H2,6,12,2,ST,30
-3,16,H2,9,12,2,ST,31
-3,17,H2,4,9,2,ST,32
-3,18,H2,36,8,2,ST,33
-3,19,H2,42,12,2,ST,34
-3,20,H2,15,12,2,ST,35
-3,21,H2,9,12,2,ST,36
-3,22,H2,7,12,2,ST,37
-3,23,H2,2,12,2,ST,38
-2,0,H2,3,12,2,ST,39
-2,1,H2,3,12,2,ST,40
-2,2,H2,1,12,2,ST,41
-2,3,H2,8,12,2,ST,42
-2,4,H2,10,12,2,ST,43
-2,5,H2,26,12,2,ST,44
-2,6,H2,19,12,2,ST,45
-2,7,H2,14,12,2,ST,46
-2,8,H2,6,12,2,ST,47
-2,9,H2,4,11,2,ST,48
-2,10,H2,5,11,2,ST,49
-2,11,H2,4,12,2,ST,50
-2,12,H2,5,12,2,ST,51
-2,13,H2,2,8,2,ST,52
-2,14,H2,8,11,2,ST,53
-2,15,H2,4,12,2,ST,54
-2,16,H2,8,12,2,ST,55
-2,17,H2,1,6,2,ST,56
-2,18,H2,24,9,2,ST,57
-2,19,H2,48,12,2,ST,58
-2,20,H2,16,12,2,ST,59
-2,21,H2,17,12,1,ST,60
-2,22,H2,12,12,1,ST,61
-2,23,H2,10,12,1,ST,62
-1,0,H2,15,12,1,ST,63
-1,1,H2,8,12,1,ST,64
-1,2,H2,3,12,1,ST,65
-1,3,H2,4,12,1,ST,66
-1,4,H2,4,12,1,ST,67
-1,5,H2,5,12,1,ST,68
-1,6,H2,20,12,0,ST,69
-1,7,H2,22,12,0,ST,70
-1,8,H2,5,7,0,ST,71
-1,9,H2,7,9,0,ST,72
-1,10,H2,6,11,0,ST,73
-1,11,H2,4,12,0,ST,74
-1,12,H2,3,10,0,ST,75
-1,13,H2,1,10,0,ST,76
-1,14,H2,2,11,0,ST,77
-1,15,H2,0,5,0,ST,78
-1,16,H2,2,11,0,ST,79
-1,17,H2,3,12,0,ST,80
-1,18,H2,8,11,0,ST,81
-1,19,H2,10,12,0,ST,82
-1,20,H2,3,12,0,ST,83
-1,21,H2,5,12,0,ST,84
-1,22,H2,8,12,0,ST,85
-1,23,H2,5,12,0,ST,86
0,0,H2,5,12,0,ST,87
0,1,H2,9,12,0,ST,88
0,2,H2,5,12,0,ST,89
0,3,H2,3,12,0,ST,90
0,4,H2,5,12,0,ST,91
0,5,H2,6,12,0,ST,92
0,6,H2,11,12,0,ST,93
0,7,H2,10,12,0,ST,94
0,8,H2,18,12,0,ST,95
0,9,H2,21,12,0,ST,96
0,10,H2,3,11,0,ST,97
0,11,H2,6,12,0,ST,98
0,12,H2,5,12,0,ST,99
0,13,H2,15,12,0,ST,100
0,14,H2,6,12,0,ST,101
0,15,H2,4,12,0,ST,102
0,16,H2,9,12,0,ST,103
0,17,H2,17,12,0,ST,104
0,18,H2,5,12,0,ST,105
0,19,H2,11,12,0,ST,106
0,20,H2,12,12,0,ST,107
0,21,H2,23,12,0,ST,108
0,22,H2,15,12,0,ST,109
0,23,H2,21,12,0,ST,110
1,0,H2,6,12,0,ST,111
1,1,H2,5,12,0,ST,112
1,2,H2,5,12,0,ST,113
1,3,H2,13,12,0,ST,114
1,4,H2,6,12,0,ST,115
1,5,H2,4,12,0,ST,116
1,6,H2,9,12,0,ST,117
1,7,H2,8,12,0,ST,118
1,8,H2,11,12,0,ST,119
1,9,H2,9,12,0,ST,120
1,10,H2,13,12,0,ST,121
1,11,H2,5,12,0,ST,122
1,12,H2,3,12,0,ST,123
1,13,H2,6,10,0,ST,124
1,14,H2,4,12,0,ST,125
1,15,H2,3,12,0,ST,126
1,16,H2,12,12,0,ST,127
1,17,H2,7,9,0,ST,128
1,18,H2,4,10,0,ST,129
1,19,H2,2,5,0,ST,130
1,20,H2,11,12,0,ST,131
1,21,H2,15,12,0,ST,132
1,22,H2,11,12,0,ST,133
1,23,H2,8,12,0,ST,134
2,0,H2,11,12,0,ST,135
2,1,H2,11,12,0,ST,136
2,2,H2,5,12,0,ST,137
2,3,H2,8,12,0,ST,138
2,4,H2,2,12,0,ST,139
2,5,H2,6,12,0,ST,140
2,6,H2,3,12,0,ST,141
2,7,H2,7,12,0,ST,142
2,8,H2,4,12,0,ST,143
2,9,H2,3,12,0,ST,144
2,10,H2,3,12,0,ST,145
2,11,H2,2,12,0,ST,146
2,12,H2,0,12,0,ST,147
2,13,H2,4,12,0,ST,148
2,14,H2,2,12,0,ST,149
2,15,H2,1,12,0,ST,150
2,16,H2,3,12,0,ST,151
2,17,H2,1,12,0,ST,152
2,18,H2,4,12,0,ST,153
2,19,H2,9,12,0,ST,154
2,20,H2,11,12,0,ST,155
2,21,H2,4,12,0,ST,156
2,22,H2,2,12,0,ST,157
2,23,H2,4,12,0,ST,158
-4,10,H4,2,8,0,ST,1
-4,11,H4,0,8,0,ST,2
-4,12,H4,5,11,0,ST,3
-4,13,H4,1,12,0,ST,4
-4,14,H4,0,8,0,ST,5
-4,15,H4,0,8,0,ST,6
-4,16,H4,1,12,0,ST,7
-4,17,H4,2,12,0,ST,8
-4,18,H4,12,12,0,ST,9
-4,19,H4,8,12,0,ST,10
-4,20,H4,8,12,0,ST,11
-4,21,H4,2,12,0,ST,12
-4,22,H4,1,12,0,ST,13
-4,23,H4,2,12,0,ST,14
-3,0,H4,3,12,0,ST,15
-3,1,H4,0,12,0,ST,16
-3,2,H4,0,12,0,ST,17
-3,3,H4,2,12,0,ST,18
-3,4,H4,0,12,0,ST,19
-3,5,H4,5,12,0,ST,20
-3,6,H4,3,12,0,ST,21
-3,7,H4,19,12,0,ST,22
-3,8,H4,4,12,0,ST,23
-3,9,H4,7,12,0,ST,24
-3,10,H4,1,10,0,ST,25
-3,11,H4,2,12,0,ST,26
-3,12,H4,5,12,0,ST,27
-3,13,H4,1,9,0,ST,28
-3,14,H4,1,12,0,ST,29
-3,15,H4,3,12,0,ST,30
